city,platform,zone_risk,weekly_hours,past_claims,weather_risk,aqi_risk,tenure_months,trust_score,risk_label
Bengaluru,Swiggy,High,28,2,2,2,48,0.73,Low
Bengaluru,Zomato,Medium,65,2,4,5,33,0.69,Medium
Mumbai,Swiggy,Medium,73,2,1,1,22,0.86,Medium
Bengaluru,Swiggy,High,55,5,7,9,1,0.47,High
Delhi,Swiggy,High,57,4,3,7,9,0.43,High
Bengaluru,Swiggy,High,33,5,4,2,23,0.87,Low
Pune,Swiggy,High,35,6,3,3,57,0.65,Medium
Delhi,Zomato,High,46,6,4,5,11,0.87,Medium
Mumbai,Zomato,High,74,3,4,4,53,0.95,Medium
Bengaluru,Zomato,High,75,1,4,1,43,0.52,Medium
Bengaluru,Zomato,High,69,2,6,9,26,0.81,Medium
Hyderabad,Zomato,High,27,2,3,10,17,0.42,Medium
Hyderabad,Zomato,Medium,70,2,7,10,33,0.47,Medium
Hyderabad,Swiggy,Low,65,3,1,9,60,0.88,Medium
Delhi,Zomato,Medium,80,5,6,10,21,0.8,High
Mumbai,Zomato,Medium,62,3,6,7,45,0.58,Medium
Delhi,Swiggy,Medium,80,3,3,10,37,0.58,Medium
Hyderabad,Swiggy,Medium,33,3,10,10,42,0.59,Medium
Pune,Zomato,Medium,52,3,3,2,19,0.71,Low
Hyderabad,Zomato,Low,80,6,4,5,15,0.88,Medium
Delhi,Swiggy,Low,50,4,2,8,27,0.93,Medium
Hyderabad,Swiggy,High,44,3,7,4,10,0.79,Medium
Mumbai,Swiggy,High,34,1,9,8,4,0.73,Medium
Mumbai,Zomato,Low,49,5,9,9,39,0.59,High
Pune,Zomato,High,55,3,3,8,29,0.56,Medium
Delhi,Zomato,High,53,3,4,5,29,0.45,Medium
Bengaluru,Swiggy,Low,40,4,2,3,10,0.54,Low
Delhi,Swiggy,Low,46,2,9,8,27,0.44,Medium
Pune,Zomato,High,57,5,1,10,25,0.69,Medium
Bengaluru,Zomato,High,74,6,7,9,48,0.84,High
Hyderabad,Swiggy,Medium,37,3,8,1,25,0.6,Medium
Pune,Swiggy,High,78,1,10,9,2,0.94,High
Hyderabad,Swiggy,Low,47,1,8,3,4,0.56,Medium
Bengaluru,Swiggy,Medium,41,6,7,5,49,0.97,Medium
Pune,Zomato,High,50,0,9,1,23,0.53,Medium
Mumbai,Swiggy,High,80,1,4,1,40,0.49,Medium
Delhi,Zomato,Medium,56,1,8,5,50,0.62,Medium
Hyderabad,Swiggy,High,30,2,2,10,2,0.96,Medium
Hyderabad,Zomato,Medium,65,1,2,10,45,0.9,Medium
Delhi,Swiggy,Medium,39,6,10,2,51,0.99,Medium
Mumbai,Zomato,Medium,62,2,2,9,42,0.6,Medium
Pune,Zomato,Low,43,5,8,3,28,0.51,Medium
Hyderabad,Zomato,Medium,78,4,8,8,28,0.9,High
Hyderabad,Zomato,Medium,35,6,2,5,57,0.67,Medium
Pune,Zomato,Medium,51,6,6,3,32,0.53,Medium
Bengaluru,Zomato,Low,58,5,5,9,1,0.71,Medium
Delhi,Swiggy,Low,46,3,9,4,45,0.69,Medium
Pune,Zomato,High,25,2,4,7,45,0.55,Medium
Hyderabad,Zomato,Medium,53,2,7,9,22,0.61,Medium
Pune,Zomato,Medium,34,0,4,6,8,0.85,Low
Delhi,Swiggy,Low,50,2,10,9,39,0.57,Medium
Mumbai,Swiggy,Low,43,1,5,1,46,0.72,Low
Bengaluru,Swiggy,High,55,2,3,8,7,0.92,Medium
Hyderabad,Zomato,Medium,48,2,3,1,17,0.96,Low
Pune,Swiggy,High,45,3,2,10,41,0.81,Medium
Delhi,Swiggy,High,80,2,2,4,8,0.73,Medium
Pune,Swiggy,High,44,3,8,5,56,0.75,Medium
Pune,Zomato,Medium,23,4,2,4,41,0.53,Low
Mumbai,Swiggy,Low,55,0,3,1,27,0.67,Low
Hyderabad,Zomato,Low,34,2,5,8,5,0.81,Medium
Bengaluru,Swiggy,Medium,54,1,3,5,53,0.49,Low
Mumbai,Swiggy,High,58,5,10,5,29,0.47,High
Bengaluru,Zomato,High,52,4,8,8,6,0.76,High
Pune,Zomato,Medium,21,0,4,10,38,0.97,Low
Bengaluru,Swiggy,High,31,3,9,8,59,0.57,Medium
Hyderabad,Zomato,Medium,51,0,8,6,27,0.6,Medium
Mumbai,Swiggy,Medium,64,3,5,7,53,0.86,Medium
Mumbai,Zomato,Low,36,2,2,7,56,0.71,Low
Mumbai,Zomato,Medium,32,4,6,10,49,0.7,Medium
Pune,Swiggy,Low,55,1,5,8,57,0.82,Medium
Mumbai,Swiggy,High,58,6,4,3,20,0.73,Medium
Hyderabad,Zomato,Low,73,0,8,2,42,0.9,Low
Pune,Zomato,Medium,37,3,8,8,16,0.67,Medium
Delhi,Zomato,Low,58,4,3,2,18,0.86,Medium
Pune,Zomato,High,52,2,1,5,47,0.58,Medium
Hyderabad,Zomato,High,48,4,8,6,22,0.73,Medium
Hyderabad,Zomato,Medium,40,6,4,4,37,0.63,Low
Pune,Swiggy,Medium,50,5,7,7,43,0.88,Medium
Delhi,Zomato,High,28,4,10,6,56,0.46,High
Pune,Swiggy,Medium,49,0,3,7,56,0.79,Low
Delhi,Swiggy,Medium,36,2,10,7,42,0.45,Medium
Bengaluru,Zomato,High,60,5,8,9,3,0.77,High
Delhi,Zomato,High,67,0,7,2,49,0.78,Medium
Mumbai,Zomato,Low,39,0,1,6,51,0.43,Low
Bengaluru,Zomato,Medium,35,4,7,10,44,0.88,Medium
Delhi,Swiggy,Low,75,3,10,4,32,0.95,Medium
Delhi,Swiggy,Medium,36,3,5,1,58,0.88,Medium
Bengaluru,Swiggy,Low,80,2,10,5,41,0.98,Medium
Bengaluru,Zomato,High,32,3,8,2,16,0.63,Medium
Bengaluru,Zomato,High,38,0,7,5,1,0.74,Medium
Mumbai,Zomato,High,77,2,4,10,52,0.61,Medium
Delhi,Zomato,Medium,66,6,3,2,58,0.78,Medium
Mumbai,Zomato,High,22,4,6,3,6,0.95,Medium
Bengaluru,Zomato,Low,28,6,9,6,34,0.7,Medium
Bengaluru,Swiggy,Low,72,3,5,6,52,0.47,Medium
Mumbai,Swiggy,High,34,6,7,9,24,0.45,High
Pune,Swiggy,Low,27,3,6,5,38,0.63,Low
Bengaluru,Swiggy,Medium,50,0,10,9,21,0.95,Medium
Delhi,Swiggy,Medium,49,5,5,7,8,0.48,Medium
Mumbai,Zomato,High,27,0,4,9,9,0.63,Medium
Bengaluru,Zomato,Medium,66,1,7,2,54,0.69,Low
Pune,Zomato,Low,43,1,8,8,16,0.91,Medium
Mumbai,Zomato,Medium,61,2,1,7,18,0.51,Medium
Mumbai,Zomato,Low,33,5,10,1,4,0.87,Medium
Delhi,Swiggy,High,33,0,9,4,38,0.53,Medium
Delhi,Zomato,High,70,4,1,5,55,0.99,Medium
Delhi,Zomato,High,27,5,1,3,1,0.61,Medium
Delhi,Zomato,Low,36,0,3,7,34,0.47,Low
Mumbai,Zomato,Medium,43,4,10,2,29,0.7,Medium
Hyderabad,Swiggy,High,78,6,9,5,30,0.79,High
Mumbai,Swiggy,High,74,3,7,2,32,0.83,Medium
Pune,Swiggy,High,40,4,3,2,9,0.57,Medium
Hyderabad,Zomato,Medium,58,4,5,8,33,0.76,Medium
Mumbai,Swiggy,High,61,6,9,4,28,0.67,High
Delhi,Zomato,Medium,49,3,7,2,21,0.66,Medium
Bengaluru,Zomato,High,63,3,2,2,54,0.45,Medium
Pune,Swiggy,High,43,6,3,9,4,0.75,Medium
Hyderabad,Zomato,Medium,46,2,7,1,19,0.76,Low
Bengaluru,Swiggy,Medium,33,1,8,4,55,0.46,Low
Hyderabad,Zomato,Low,37,4,4,7,55,0.74,Low
Hyderabad,Swiggy,Medium,62,6,5,1,12,0.56,Medium
Bengaluru,Zomato,Medium,31,6,3,10,43,0.64,Medium
Delhi,Swiggy,Low,53,1,7,7,30,0.6,Low
Bengaluru,Zomato,High,69,4,10,2,57,0.43,High
Delhi,Swiggy,Medium,37,3,7,8,39,0.67,Medium
Bengaluru,Swiggy,High,27,2,7,2,19,0.81,Low
Hyderabad,Zomato,Medium,39,0,4,7,39,0.43,Low
Delhi,Zomato,High,69,1,5,5,21,0.47,Medium
Pune,Zomato,Low,44,4,4,9,36,0.9,Medium
Bengaluru,Swiggy,Medium,67,0,7,1,30,0.95,Low
Bengaluru,Zomato,Medium,65,5,7,5,8,0.64,Medium
Bengaluru,Swiggy,High,59,3,6,2,28,0.91,Medium
Delhi,Zomato,Medium,53,0,7,5,48,0.6,Medium
Bengaluru,Swiggy,Low,60,0,9,9,13,0.94,Medium
Bengaluru,Zomato,High,72,5,3,4,7,0.49,Medium
Delhi,Swiggy,Medium,68,6,2,3,50,0.78,Medium
Pune,Zomato,Medium,76,4,10,6,56,0.98,Medium
Bengaluru,Swiggy,Medium,50,3,5,5,38,0.43,Medium
Hyderabad,Swiggy,Medium,48,0,1,6,54,0.57,Low
Mumbai,Zomato,Medium,55,6,1,8,59,0.89,Medium
Delhi,Zomato,Medium,52,1,1,8,7,0.89,Medium
Bengaluru,Swiggy,Medium,31,0,4,8,29,0.71,Low
Hyderabad,Swiggy,Medium,78,2,7,7,50,0.6,Medium
Hyderabad,Swiggy,High,61,2,2,6,7,0.73,Medium
Pune,Zomato,Low,74,5,10,3,22,0.45,Medium
Delhi,Zomato,Medium,61,5,7,3,39,0.83,Medium
Mumbai,Zomato,Medium,61,6,6,3,43,0.82,Medium
Hyderabad,Swiggy,Medium,47,4,6,1,24,0.59,Medium
Delhi,Zomato,High,51,1,4,3,10,0.45,Medium
Mumbai,Swiggy,Medium,76,6,10,3,39,0.63,Medium
Delhi,Swiggy,High,69,4,3,8,3,0.65,High
Delhi,Zomato,Medium,68,5,8,4,35,0.54,High
Pune,Swiggy,Medium,80,4,8,8,50,0.57,High
Pune,Zomato,High,72,1,10,3,56,0.55,Medium
Pune,Zomato,Medium,26,5,9,2,19,0.45,Medium
Delhi,Zomato,Medium,52,1,7,2,59,0.53,Medium
Pune,Zomato,High,46,0,7,9,24,0.54,Medium
Mumbai,Zomato,Low,40,0,6,3,9,0.42,Low
Pune,Swiggy,High,50,3,10,1,58,0.45,Medium
Bengaluru,Swiggy,High,55,5,10,9,28,0.47,High
Bengaluru,Swiggy,Medium,23,1,7,10,30,0.44,Medium
Pune,Swiggy,Medium,56,1,3,5,28,0.4,Medium
Bengaluru,Swiggy,Medium,31,5,2,9,24,0.44,Medium
Hyderabad,Swiggy,Medium,50,0,7,6,17,0.85,Low
Bengaluru,Swiggy,Medium,66,5,2,10,48,0.85,Medium
Delhi,Swiggy,Medium,41,6,3,8,45,0.69,Medium
Delhi,Swiggy,Low,69,3,1,5,13,0.43,Medium
Delhi,Swiggy,Medium,39,4,7,9,31,0.55,High
Delhi,Zomato,Medium,69,0,6,5,8,0.88,Medium
Pune,Zomato,High,77,3,6,3,32,0.82,Medium
Bengaluru,Zomato,High,66,3,2,7,39,1.0,Medium
Delhi,Zomato,Medium,25,2,5,5,29,0.76,Medium
Pune,Swiggy,Medium,42,3,1,6,40,1.0,Low
Bengaluru,Swiggy,Low,60,3,6,9,52,0.85,Medium
Delhi,Swiggy,Low,58,5,8,1,9,0.44,Medium
Bengaluru,Zomato,Medium,56,0,10,3,44,0.67,Medium
Bengaluru,Zomato,Medium,24,4,3,9,24,0.64,Medium
Bengaluru,Swiggy,High,21,5,3,8,34,0.63,Medium
Hyderabad,Swiggy,Low,36,5,8,4,40,0.57,Medium
Pune,Swiggy,Low,74,0,8,3,58,0.83,Low
Mumbai,Zomato,Medium,65,0,9,9,19,0.93,Medium
Delhi,Swiggy,High,52,1,2,4,51,0.48,Medium
Pune,Swiggy,Medium,56,2,8,9,9,0.77,Medium
Mumbai,Swiggy,Medium,65,5,8,9,27,0.86,High
Hyderabad,Swiggy,Low,40,5,2,8,30,0.81,Medium
Bengaluru,Swiggy,High,69,4,10,3,50,0.98,Medium
Pune,Swiggy,High,53,1,5,3,11,0.59,Medium
Delhi,Zomato,High,53,2,2,5,13,0.78,Medium
Hyderabad,Zomato,Low,39,4,9,2,33,0.78,Medium
Hyderabad,Swiggy,Low,59,5,10,6,54,0.95,Medium
Mumbai,Swiggy,Low,80,5,10,5,42,0.53,High
Hyderabad,Zomato,Medium,21,3,9,5,42,0.97,Medium
Pune,Swiggy,High,63,3,5,8,5,0.81,High
Delhi,Zomato,Medium,49,1,6,10,10,0.59,Medium
Bengaluru,Zomato,High,28,6,6,9,36,0.46,Medium
Delhi,Zomato,Low,48,1,3,2,4,0.57,Low
Pune,Zomato,Low,75,1,6,10,47,0.59,Medium
Delhi,Zomato,High,49,3,5,8,2,0.45,High
Pune,Zomato,High,33,4,6,1,4,0.57,Medium
Hyderabad,Zomato,Low,20,6,2,7,9,0.93,Low
Bengaluru,Zomato,Medium,45,0,10,9,13,0.62,Medium
Bengaluru,Swiggy,Medium,48,6,9,5,53,0.99,Medium
Hyderabad,Swiggy,Low,26,3,6,6,36,0.96,Low
Delhi,Swiggy,Medium,45,4,1,1,3,0.48,Medium
Bengaluru,Zomato,Medium,29,4,9,3,21,0.96,Medium
Bengaluru,Swiggy,Medium,59,5,5,10,22,0.7,Medium
Hyderabad,Zomato,High,39,3,1,6,22,0.8,Medium
Pune,Zomato,High,66,6,1,10,31,0.56,High
Hyderabad,Swiggy,High,57,3,3,9,41,0.83,Medium
Pune,Swiggy,High,35,0,10,2,13,0.41,Medium
Bengaluru,Zomato,Low,64,1,7,9,50,0.77,Medium
Pune,Swiggy,High,53,1,9,6,43,0.69,Medium
Pune,Zomato,High,49,4,6,9,23,0.81,Medium
Bengaluru,Zomato,Low,35,2,9,5,15,0.96,Medium
Bengaluru,Zomato,High,64,5,8,6,31,0.61,High
Bengaluru,Zomato,Low,63,4,7,7,53,0.61,Medium
Delhi,Zomato,Low,65,0,6,8,42,0.55,Medium
Pune,Swiggy,Low,54,2,9,5,9,0.47,Medium
Hyderabad,Swiggy,Low,62,4,4,4,4,0.46,Medium
Bengaluru,Zomato,Low,69,1,1,9,60,0.49,Medium
Pune,Zomato,Medium,68,2,6,5,42,0.44,Medium
Mumbai,Swiggy,Medium,66,6,1,3,27,0.93,Medium
Delhi,Swiggy,High,45,6,8,3,60,0.85,Medium
Bengaluru,Swiggy,Low,56,4,2,6,19,0.67,Medium
Hyderabad,Zomato,High,28,6,9,8,18,0.52,High
Mumbai,Zomato,Low,49,5,5,3,1,0.84,Medium
Bengaluru,Swiggy,Low,74,5,7,7,33,0.6,Medium
Pune,Swiggy,Low,28,3,6,4,1,0.56,Low
Delhi,Zomato,High,41,2,10,10,1,0.56,High
Bengaluru,Swiggy,Low,27,3,5,3,26,0.81,Low
Bengaluru,Swiggy,Medium,80,2,6,10,15,0.53,Medium
Delhi,Zomato,Low,67,4,6,7,45,0.73,Medium
Pune,Swiggy,High,63,6,10,2,34,0.67,Medium
Bengaluru,Swiggy,High,27,0,9,9,13,0.74,Medium
Delhi,Swiggy,Medium,53,3,2,4,46,0.75,Low
Mumbai,Zomato,High,49,1,9,7,30,0.74,Medium
Hyderabad,Zomato,Medium,39,5,1,7,17,0.89,Medium
Delhi,Swiggy,Low,42,5,2,9,4,0.96,Medium
Mumbai,Zomato,Low,46,1,3,7,24,1.0,Low
Pune,Zomato,High,78,3,7,2,44,0.98,Medium
Hyderabad,Swiggy,Medium,42,0,3,9,26,0.72,Low
Delhi,Swiggy,High,39,3,9,7,35,0.63,Medium
Delhi,Swiggy,Medium,29,2,4,2,3,0.89,Low
Pune,Swiggy,Low,24,0,10,1,29,0.76,Low
Mumbai,Swiggy,High,45,3,4,9,14,0.85,Medium
Mumbai,Swiggy,Medium,38,1,10,6,37,0.76,Medium
Bengaluru,Swiggy,Medium,29,5,9,4,27,0.58,Medium
Mumbai,Swiggy,Medium,47,4,8,1,23,0.96,Medium
Pune,Zomato,Medium,46,1,5,7,12,0.85,Low
Pune,Swiggy,High,39,6,3,8,59,0.43,Medium
Pune,Zomato,Medium,28,3,4,5,14,0.6,Low
Mumbai,Zomato,High,25,4,4,1,18,0.63,Medium
Hyderabad,Swiggy,High,32,6,10,9,14,0.69,Medium
Bengaluru,Zomato,High,20,1,4,2,48,1.0,Low
Pune,Swiggy,Medium,65,1,7,4,36,0.59,Medium
Bengaluru,Zomato,Medium,61,2,5,5,24,0.71,Medium
Pune,Zomato,Low,66,3,6,4,24,0.59,Medium
Mumbai,Swiggy,High,21,2,9,10,38,0.83,Medium
Bengaluru,Swiggy,Low,34,3,10,4,32,0.73,Low
Bengaluru,Zomato,High,51,5,8,8,11,0.84,High
Bengaluru,Swiggy,Low,54,3,3,9,42,0.97,Low
Hyderabad,Swiggy,High,24,6,1,1,27,0.48,Medium
Delhi,Swiggy,High,20,1,9,8,24,0.44,Medium
Hyderabad,Zomato,Medium,21,0,9,9,27,0.41,Medium
Hyderabad,Zomato,Medium,38,0,9,7,52,0.96,Medium
Delhi,Swiggy,High,53,1,4,4,40,0.72,Low
Bengaluru,Zomato,High,25,2,7,8,37,0.55,Medium
Delhi,Zomato,Medium,74,0,1,2,26,0.63,Low
Hyderabad,Zomato,Low,20,5,3,2,32,0.91,Low
Bengaluru,Swiggy,High,78,0,4,4,58,0.92,Low
Hyderabad,Zomato,Low,79,0,5,9,37,0.79,Medium
Delhi,Zomato,Low,33,4,3,7,60,0.45,Medium
Delhi,Swiggy,Medium,74,3,9,6,25,0.85,Medium
Delhi,Swiggy,Medium,42,0,2,7,15,0.9,Low
Bengaluru,Zomato,High,40,0,5,8,32,0.54,Medium
Hyderabad,Zomato,Medium,63,4,7,2,50,0.77,Medium
Delhi,Swiggy,Low,29,3,3,7,21,0.62,Low
Mumbai,Swiggy,High,48,2,5,2,9,0.45,Medium
Pune,Zomato,Medium,52,3,2,1,6,0.61,Low
Mumbai,Zomato,High,20,2,7,7,50,0.45,Medium
Hyderabad,Swiggy,Medium,30,5,7,3,9,0.56,Medium
Bengaluru,Zomato,Low,30,3,5,7,20,0.69,Low
Mumbai,Zomato,Low,35,5,8,10,40,0.52,High
Mumbai,Swiggy,Medium,80,3,6,10,25,0.88,Medium
Bengaluru,Zomato,Medium,72,6,10,3,20,0.59,Medium
Delhi,Zomato,Medium,45,2,5,8,37,0.87,Medium
Bengaluru,Zomato,Low,70,3,6,2,60,0.74,Low
Hyderabad,Swiggy,Medium,55,0,8,4,29,0.88,Medium
Mumbai,Zomato,Medium,28,5,5,4,17,0.8,Medium
Pune,Zomato,Low,58,3,10,7,35,0.7,Medium
Pune,Swiggy,High,43,5,9,10,41,0.95,High
Mumbai,Swiggy,Medium,42,1,10,1,37,0.99,Medium
Pune,Zomato,High,47,0,1,2,17,0.53,Low
Hyderabad,Swiggy,Medium,45,3,10,9,10,0.61,Medium
Mumbai,Zomato,Low,46,0,2,3,23,0.59,Low
Pune,Swiggy,Medium,42,3,2,8,47,0.82,Medium
Bengaluru,Swiggy,Medium,71,5,2,1,55,0.61,Medium
Mumbai,Swiggy,High,67,1,9,3,36,0.5,Medium
Hyderabad,Zomato,High,34,6,7,3,12,0.78,Medium
Pune,Zomato,Low,59,1,8,10,28,0.63,Medium
Delhi,Swiggy,Low,65,6,2,10,7,0.88,Medium
Hyderabad,Swiggy,Medium,32,3,2,5,43,0.92,Low
Hyderabad,Zomato,Medium,59,3,10,2,23,0.61,Medium
Pune,Swiggy,High,65,6,5,10,38,0.45,High
Delhi,Zomato,Low,39,0,3,6,45,0.48,Low
Pune,Zomato,Medium,56,3,7,3,32,0.78,Medium
Delhi,Swiggy,Medium,28,1,6,8,40,0.43,Medium
Bengaluru,Swiggy,Medium,32,6,7,9,33,0.79,Medium
Pune,Zomato,Medium,73,3,8,3,6,0.74,Medium
Delhi,Zomato,Low,34,4,5,3,50,0.67,Low
Pune,Swiggy,Medium,37,6,9,6,35,0.89,Medium
Mumbai,Zomato,Medium,47,0,4,5,56,1.0,Low
Pune,Zomato,Medium,72,0,8,2,50,0.89,Medium
Delhi,Zomato,High,59,5,7,3,40,0.48,High
Delhi,Swiggy,High,56,2,9,5,39,0.72,High
Bengaluru,Zomato,Low,37,6,9,2,9,0.98,Medium
Pune,Swiggy,High,75,5,3,3,16,0.49,Medium
Bengaluru,Swiggy,High,63,3,8,3,37,0.78,Medium
Pune,Zomato,Medium,60,6,2,7,33,0.85,Medium
Bengaluru,Zomato,High,40,4,1,2,47,0.98,Medium
Bengaluru,Swiggy,High,45,1,7,4,32,0.56,Medium
Bengaluru,Zomato,Medium,28,4,8,6,58,0.81,Medium
Mumbai,Swiggy,Low,70,6,8,1,8,0.96,Medium
Delhi,Zomato,Medium,47,1,3,5,11,0.92,Low
Bengaluru,Swiggy,Medium,36,0,6,3,4,0.64,Low
Bengaluru,Swiggy,Medium,25,5,2,1,14,0.69,Low
Delhi,Swiggy,Medium,48,0,1,6,53,0.47,Medium
Pune,Swiggy,Medium,34,3,2,2,7,0.59,Low
Bengaluru,Swiggy,Medium,72,6,3,3,5,0.72,Medium
Mumbai,Swiggy,Medium,66,1,3,7,40,0.81,Medium
Delhi,Swiggy,High,28,6,2,10,47,0.63,Medium
Pune,Zomato,High,35,2,2,4,36,0.76,Low
Hyderabad,Zomato,High,64,0,5,4,34,0.76,Medium
Delhi,Zomato,Low,23,6,4,8,25,0.47,Medium
Pune,Swiggy,Medium,20,2,6,3,25,0.92,Low
Hyderabad,Zomato,Medium,63,1,8,2,2,0.75,Medium
Mumbai,Zomato,Low,79,0,7,9,19,0.78,Medium
Hyderabad,Zomato,Medium,45,0,9,9,40,0.49,Medium
Mumbai,Zomato,Low,78,1,3,9,21,0.63,Medium
Mumbai,Zomato,Medium,66,6,4,1,16,0.45,Medium
Pune,Swiggy,Medium,58,0,5,3,8,0.41,Medium
Delhi,Swiggy,Low,80,2,9,9,51,0.89,Medium
Bengaluru,Swiggy,Medium,67,6,5,2,50,0.94,Medium
Bengaluru,Zomato,Low,24,2,10,2,32,0.67,Low
Bengaluru,Swiggy,Medium,56,1,6,3,17,0.86,Low
Hyderabad,Swiggy,Low,52,0,1,1,16,0.43,Low
Bengaluru,Zomato,High,31,6,1,9,52,0.95,Medium
Pune,Swiggy,Medium,46,5,6,5,53,0.45,Medium
Bengaluru,Swiggy,Medium,77,0,3,4,52,0.71,Low
Mumbai,Zomato,Low,49,6,5,5,21,0.45,Medium
Pune,Swiggy,Medium,38,4,5,10,16,0.68,Medium
Hyderabad,Zomato,High,69,1,9,4,10,0.4,Medium
Pune,Swiggy,Low,42,5,1,6,1,0.86,Medium
Pune,Zomato,Low,53,1,7,8,4,0.98,Medium
Delhi,Zomato,Low,78,1,9,7,45,0.94,Medium
Pune,Swiggy,Medium,52,1,7,2,38,0.74,Low
Pune,Swiggy,Low,36,6,6,7,45,0.9,Medium
Bengaluru,Zomato,Medium,34,0,4,3,50,0.86,Low
Mumbai,Swiggy,Low,48,3,6,7,8,0.72,Medium
Delhi,Zomato,Medium,36,6,2,2,11,0.88,Medium
Bengaluru,Swiggy,Low,74,2,3,2,46,0.55,Low
Bengaluru,Zomato,Medium,63,2,5,3,2,0.97,Medium
Pune,Swiggy,Low,26,6,3,2,1,0.44,Low
Delhi,Swiggy,Low,45,2,2,10,38,0.56,Medium
Mumbai,Swiggy,High,32,5,8,3,6,0.94,Medium
Bengaluru,Swiggy,Low,49,0,3,10,28,0.89,Low
Pune,Zomato,Low,63,3,3,6,14,0.94,Low
Bengaluru,Zomato,Medium,29,0,10,10,40,0.55,Medium
Bengaluru,Zomato,Medium,55,3,1,2,18,0.63,Low
Pune,Swiggy,Medium,71,4,4,9,51,0.41,Medium
Pune,Zomato,Medium,70,3,6,10,33,0.59,Medium
Bengaluru,Swiggy,Low,58,1,1,5,4,0.89,Low
Pune,Zomato,High,34,1,2,4,43,0.54,Low
Hyderabad,Swiggy,High,80,1,10,7,23,0.96,Medium
Delhi,Swiggy,Low,40,6,6,10,2,0.82,Medium
Bengaluru,Swiggy,Medium,32,6,8,9,20,0.51,Medium
Mumbai,Swiggy,Low,58,1,1,9,31,0.4,Medium
Hyderabad,Swiggy,High,41,5,3,6,4,0.41,Medium
Hyderabad,Swiggy,High,74,4,6,2,24,0.82,Medium
Pune,Swiggy,Medium,40,1,3,7,51,0.78,Low
Pune,Zomato,Low,55,5,10,6,15,0.8,Medium
Delhi,Zomato,Medium,64,2,3,3,47,0.4,Medium
Hyderabad,Zomato,High,69,4,1,3,39,0.59,Medium
Hyderabad,Swiggy,Medium,26,3,3,6,48,0.45,Low
Bengaluru,Zomato,Low,76,0,6,8,1,0.56,Medium
Delhi,Swiggy,Medium,70,0,1,1,25,0.66,Low
Pune,Swiggy,High,51,3,6,9,25,0.46,Medium
Pune,Swiggy,Low,24,6,1,5,2,0.59,Medium
Mumbai,Swiggy,Medium,76,3,3,2,36,0.97,Medium
Mumbai,Zomato,Medium,59,3,1,7,42,0.5,Medium
Pune,Swiggy,Low,41,1,4,7,45,0.73,Low
Hyderabad,Zomato,Medium,39,1,2,1,26,0.74,Low
Pune,Swiggy,Low,20,3,2,5,53,0.8,Low
Hyderabad,Zomato,Low,21,1,3,5,6,0.68,Low
