claim_count_7d,avg_claim_amount,location_jump_km,cluster_claim_count,device_motion_score,vpn_flag,claim_trigger_frequency,trust_score
4,1485,8.53,2,0.26,1,1,0.73
2,556,1.74,8,0.23,0,2,1.0
2,1230,10.24,10,0.36,0,7,0.43
6,532,7.44,2,0.26,0,5,0.43
3,756,1.02,7,0.28,1,1,0.98
8,2321,38.59,23,0.05,0,12,0.16
0,851,12.63,8,0.44,1,0,0.5
5,476,10.52,7,0.36,1,6,0.9
2,1338,15.38,3,0.94,1,4,0.54
4,1460,3.27,7,0.84,1,1,0.77
2,1315,17.15,1,0.94,1,2,0.65
5,562,5.56,1,0.74,1,1,0.68
5,611,21.3,7,0.92,1,4,0.59
0,1258,24.78,2,0.26,0,0,0.41
4,962,16.82,6,0.5,1,6,0.54
2,1070,6.56,1,0.75,0,7,0.92
4,758,3.6,3,0.82,0,3,0.85
0,532,21.56,4,0.74,0,0,0.6
0,1281,16.0,7,0.35,1,0,0.54
3,289,17.03,2,0.65,0,8,0.5
5,813,20.24,1,0.35,1,1,0.73
5,1045,9.64,9,0.4,1,3,0.66
10,3907,56.62,27,0.19,0,12,0.29
6,1426,51.03,11,0.07,1,10,0.48
3,1114,14.34,7,0.55,0,3,0.86
4,651,1.76,6,0.25,1,7,0.45
3,1229,15.75,10,0.36,1,4,0.92
14,2232,33.5,12,0.05,0,10,0.19
0,447,15.23,9,0.35,1,5,0.83
1,895,0.48,9,0.46,0,2,0.93
2,1431,2.94,5,0.97,0,1,0.77
4,177,20.04,9,0.69,0,0,0.44
3,551,9.85,7,0.33,1,7,0.52
5,849,21.45,4,0.94,0,0,0.45
3,823,20.16,7,0.28,0,5,0.74
8,1969,77.7,9,0.07,0,10,0.15
6,529,23.15,2,0.38,0,1,0.53
8,3187,93.82,14,0.03,1,6,0.2
3,188,12.66,10,0.53,1,5,0.91
4,364,24.75,7,0.5,0,2,0.9
3,1464,13.21,9,0.91,1,5,0.46
4,103,5.35,6,0.89,1,8,0.92
3,1457,10.28,3,0.89,1,0,0.58
1,124,9.77,7,0.55,0,0,0.47
2,1450,5.47,8,0.45,1,8,1.0
1,506,15.96,5,0.87,1,1,0.42
1,1212,16.12,8,0.56,1,0,0.94
2,373,8.78,4,0.58,0,0,0.67
4,1276,17.56,10,0.92,0,8,0.77
2,905,10.85,10,0.34,1,6,0.69
5,270,15.7,10,0.28,0,7,0.52
2,718,11.82,10,0.99,1,5,0.43
2,1129,14.5,3,0.51,0,6,0.85
5,924,17.12,4,0.37,0,8,0.85
3,318,5.17,10,0.89,0,8,0.43
3,1487,5.08,6,0.85,1,3,0.58
3,839,19.13,3,0.36,1,4,0.71
14,1598,40.88,29,0.06,1,5,0.35
7,2020,95.17,23,0.0,1,9,0.36
4,1328,1.88,3,1.0,0,5,0.98
0,546,8.84,5,0.39,1,3,0.6
6,921,21.55,3,0.53,0,2,0.8
2,738,1.66,4,0.22,1,6,0.5
5,1118,0.89,6,0.57,1,3,0.79
3,1394,15.63,6,0.93,0,2,0.67
6,106,2.46,2,0.87,0,8,0.66
5,1057,5.38,3,0.28,1,0,0.81
4,779,9.21,3,0.36,0,5,0.59
4,428,8.46,7,0.69,0,1,0.71
5,1177,18.29,5,0.6,1,7,0.52
5,1116,16.35,9,0.6,0,6,0.78
3,995,14.15,5,0.67,1,7,0.94
1,505,4.19,1,0.77,0,5,0.94
5,1430,3.85,8,0.73,1,6,0.61
4,1206,4.84,2,0.44,0,6,0.92
5,418,20.13,10,0.52,0,4,0.61
9,1650,70.95,18,0.23,0,6,0.46
2,496,15.45,7,0.35,1,3,0.73
7,3070,53.77,28,0.06,0,6,0.14
0,1335,24.5,2,0.62,1,3,0.77
1,189,9.2,9,0.29,0,0,0.43
0,360,6.76,1,0.52,1,7,0.98
0,608,17.52,3,0.55,1,2,0.93
1,1405,5.16,10,0.39,1,6,0.8
13,3800,75.29,18,0.07,1,12,0.39
1,585,3.87,7,0.75,1,6,0.85
3,435,0.29,10,0.87,1,2,0.69
3,961,4.62,8,0.38,1,7,0.99
6,667,16.87,2,0.89,0,6,0.53
6,1375,17.74,2,0.42,1,2,0.92
4,421,15.72,3,0.8,0,6,0.89
5,1225,6.39,9,0.27,1,1,0.73
2,132,23.03,8,0.9,1,8,0.99
0,106,15.51,10,0.8,0,3,0.79
3,779,17.89,2,0.32,0,4,0.44
5,1356,22.95,9,0.78,1,3,0.8
2,134,4.73,3,0.77,1,4,0.91
5,585,18.05,9,0.33,0,5,0.87
3,993,20.28,5,0.73,0,5,0.53
6,660,1.25,1,0.83,0,0,0.67
6,1258,10.1,6,0.51,1,8,0.87
5,1165,18.9,3,0.76,0,5,0.83
3,1268,19.05,1,0.26,1,2,0.55
12,2324,58.77,29,0.18,0,10,0.2
5,643,0.05,4,0.82,1,4,0.98
0,740,20.0,5,0.94,0,4,0.93
4,1168,6.86,6,0.84,0,7,0.46
4,731,11.76,7,0.34,1,6,0.73
4,886,20.46,5,0.81,1,1,0.41
0,1434,13.07,2,0.39,1,0,0.56
4,217,6.78,10,0.65,0,8,0.59
4,100,8.24,6,0.61,0,0,0.48
6,336,4.76,1,0.91,1,5,0.81
1,979,23.56,8,0.45,0,6,0.82
6,1279,3.28,1,0.21,0,8,0.86
7,2811,37.41,26,0.11,0,10,0.25
2,140,13.28,8,0.55,1,8,0.51
1,798,3.58,8,0.9,1,1,0.87
0,281,5.04,4,0.6,1,1,0.76
13,3668,62.19,11,0.01,0,9,0.51
4,1472,6.15,6,0.88,0,1,0.64
1,372,16.64,6,0.28,1,0,0.89
1,904,4.51,2,0.52,1,5,0.9
1,1330,13.35,7,0.88,0,4,0.53
11,3011,94.04,18,0.04,1,7,0.49
5,1492,13.47,9,0.21,0,7,0.99
14,3952,35.99,25,0.02,1,5,0.42
2,937,13.55,1,0.81,0,4,0.89
2,411,9.7,2,0.63,0,6,0.97
1,978,16.2,7,0.38,1,5,0.72
3,541,23.34,1,0.94,0,4,0.64
2,1417,16.87,3,0.95,1,5,0.54
12,3971,71.91,13,0.15,1,5,0.26
2,857,14.3,5,0.89,0,6,0.44
9,3918,95.06,16,0.14,1,11,0.37
6,889,17.8,5,0.94,0,0,0.52
4,952,8.4,2,0.23,1,4,0.93
3,1395,8.16,9,0.88,1,1,0.65
4,918,22.66,4,0.45,0,2,0.69
1,1328,13.51,1,0.46,1,8,0.55
2,991,24.78,10,0.21,1,7,0.57
0,376,4.32,9,0.29,1,7,0.59
1,821,8.67,4,0.59,0,8,0.81
15,1261,63.09,19,0.18,1,9,0.18
1,372,20.86,10,0.52,0,5,0.49
11,1667,31.39,10,0.23,1,6,0.35
6,445,21.6,8,0.29,0,2,0.67
2,603,9.45,7,0.5,1,2,0.69
4,1398,10.2,9,0.72,1,6,0.82
5,1114,17.16,9,0.23,1,0,0.41
1,1259,2.8,2,0.26,0,0,0.41
6,283,9.99,4,0.89,0,4,0.64
5,728,24.75,4,0.61,1,2,0.47
2,1284,1.15,1,0.98,0,4,0.92
6,1175,22.13,9,0.77,0,0,0.93
0,535,12.77,8,0.98,0,5,0.46
3,962,13.67,3,0.25,0,1,0.86
8,2974,69.62,30,0.05,0,12,0.53
8,3907,39.44,18,0.09,1,5,0.49
0,987,24.22,2,0.73,0,0,0.83
3,770,11.16,9,0.94,0,4,0.44
2,783,6.48,2,0.73,0,7,0.88
2,418,11.1,1,0.6,1,0,0.53
9,2468,98.14,20,0.15,1,11,0.23
15,3349,52.09,20,0.04,0,6,0.51
5,3124,97.66,24,0.03,0,11,0.41
3,1480,0.04,8,0.36,0,1,0.46
2,255,24.76,7,0.46,1,6,0.61
3,1207,7.66,6,0.77,1,4,0.86
0,1030,23.5,4,0.63,1,6,0.71
1,749,4.78,3,0.65,0,5,0.85
5,1825,94.36,30,0.16,0,10,0.37
7,3250,30.52,14,0.12,0,5,0.44
3,256,17.73,5,0.41,1,8,0.54
2,891,1.75,10,0.44,1,4,0.78
3,204,4.34,5,0.21,0,2,0.8
9,2829,92.7,30,0.19,1,5,0.46
6,2465,63.59,30,0.23,1,12,0.26
10,2924,69.34,12,0.08,0,8,0.27
6,604,4.17,6,0.54,0,2,0.89
11,2632,86.98,29,0.25,0,9,0.47
5,661,14.89,9,0.33,1,8,0.56
5,1293,10.85,7,0.26,1,7,0.66
2,1485,24.09,1,0.88,0,2,0.43
6,401,8.18,9,0.63,1,7,0.91
5,1032,18.04,4,0.4,0,5,0.8
2,696,12.51,2,0.68,1,5,0.89
5,1006,15.26,2,0.63,0,7,0.66
3,687,21.48,3,0.78,1,2,0.58
12,2734,81.33,29,0.11,1,9,0.12
3,652,15.91,3,0.87,1,5,0.78
4,131,19.65,6,0.22,0,0,0.52
5,1479,3.68,3,0.79,0,0,0.47
2,1432,6.07,4,0.99,0,7,0.67
5,793,0.99,2,0.77,0,2,0.98
1,1375,7.97,6,0.81,1,4,0.46
2,1049,11.06,8,0.73,0,1,0.52
12,2485,76.91,8,0.1,0,6,0.12
3,1093,7.46,9,0.87,1,5,0.62
3,304,11.58,3,0.56,1,6,0.89
4,128,9.65,2,0.58,0,0,0.48
5,1188,18.79,1,0.99,0,5,0.51
4,325,1.29,4,0.32,0,8,0.61
3,937,8.21,7,0.2,1,2,0.51
3,1008,14.26,3,0.45,1,2,0.68
1,1431,1.03,10,0.52,0,1,0.71
2,1110,11.48,6,0.22,1,4,0.95
9,3507,46.14,18,0.21,1,12,0.4
9,2266,41.33,29,0.15,1,9,0.27
6,3859,32.14,23,0.25,1,7,0.55
4,1062,22.72,8,0.2,0,7,0.7
6,1059,15.72,1,0.93,0,3,0.43
1,943,4.88,10,0.55,1,4,0.85
2,1006,0.58,7,0.42,0,7,0.77
6,123,11.32,2,0.73,0,0,0.42
3,357,16.97,4,0.88,0,6,0.66
2,1319,5.82,6,0.85,1,5,0.56
12,2626,91.03,20,0.18,0,5,0.29
0,259,22.23,6,0.87,1,8,0.9
6,591,0.37,5,0.82,1,0,0.68
2,1043,24.25,3,0.46,1,3,0.88
6,3582,47.84,27,0.01,1,5,0.44
2,1440,7.57,3,0.87,0,7,0.78
0,110,21.53,4,0.93,0,3,0.62
11,2695,71.16,29,0.12,1,6,0.49
9,2868,66.16,19,0.12,1,11,0.39
3,1406,20.99,5,0.27,1,8,0.51
2,988,13.43,4,0.82,0,8,0.82
0,448,19.18,1,0.34,0,3,0.44
1,681,16.94,8,0.44,1,0,0.76
2,1481,16.94,3,0.42,0,2,0.99
0,846,13.6,4,0.64,1,0,0.99
6,964,8.91,7,0.59,1,6,0.77
4,220,8.17,9,0.96,1,6,0.86
4,759,18.66,3,0.69,0,0,0.84
1,960,17.91,8,0.46,1,6,0.81
6,1123,20.89,1,0.73,0,7,0.55
7,1853,53.69,30,0.02,1,6,0.3
2,1073,21.8,9,0.29,1,6,0.96
4,568,13.72,4,0.53,0,3,0.55
15,3961,26.4,9,0.13,1,6,0.19
2,508,9.62,9,0.38,1,7,0.9
4,1183,20.71,10,0.31,0,4,0.76
4,630,9.41,3,0.71,0,4,0.69
6,2255,73.4,12,0.05,0,6,0.54
13,3728,32.2,22,0.02,0,7,0.29
0,212,0.95,5,0.22,0,2,0.56
0,289,14.25,3,0.65,1,8,0.65
1,1189,1.54,10,0.54,0,5,0.47
0,1448,17.47,3,0.88,0,3,0.85
4,1378,21.63,2,0.49,0,8,0.87
0,598,2.87,6,0.34,1,1,0.57
7,3580,40.56,20,0.12,1,10,0.26
5,517,15.22,9,0.52,0,0,0.89
1,1270,21.34,3,0.68,0,7,0.97
0,1072,3.18,5,0.56,1,1,0.82
1,730,13.11,4,0.82,0,2,0.62
6,340,2.44,2,0.33,1,2,0.76
1,633,8.35,9,0.82,0,2,0.78
4,1211,10.47,10,0.82,1,4,0.71
0,1345,6.26,3,0.21,0,1,0.89
4,1448,8.21,9,0.77,1,1,0.92
13,2245,78.17,14,0.18,0,12,0.3
0,1313,0.75,8,0.65,1,7,0.79
6,123,7.67,8,0.6,1,4,0.48
0,700,15.42,1,0.32,0,6,0.61
1,503,21.45,5,0.3,1,6,0.68
5,281,23.96,8,0.8,1,0,0.97
14,1225,95.37,19,0.13,1,11,0.41
5,1270,9.29,10,0.56,1,1,0.66
1,410,20.69,10,0.55,0,0,0.47
1,125,12.17,2,0.62,0,7,0.53
6,1476,11.29,1,0.29,0,6,0.48
3,946,20.39,7,0.47,1,4,0.88
14,2262,93.72,30,0.18,0,10,0.21
2,124,12.7,2,0.89,1,8,0.93
4,1272,11.38,5,0.36,1,6,0.62
6,419,2.7,3,0.92,0,1,0.82
1,203,8.43,10,0.5,0,7,0.56
12,3857,39.73,27,0.2,1,10,0.43
2,700,11.07,9,0.86,1,7,0.52
2,1495,24.3,2,0.24,1,7,0.41
14,1526,69.69,17,0.08,1,8,0.51
0,138,18.96,6,0.8,0,4,0.55
3,111,4.42,1,0.93,0,2,0.4
4,883,11.93,1,0.92,1,6,0.51
1,758,16.55,1,0.99,1,0,0.86
7,1905,29.78,19,0.09,1,7,0.27
1,594,5.38,1,0.67,0,4,0.81
0,250,7.06,5,1.0,1,6,0.9
6,1073,13.8,5,0.6,0,2,0.92
5,244,5.5,7,0.45,0,2,0.69
6,740,7.83,9,0.95,1,4,0.86
1,379,12.53,6,0.5,1,6,0.58
0,1444,7.85,1,0.38,1,5,0.93
6,659,11.49,7,0.57,0,8,0.55
3,809,21.62,9,0.98,0,5,0.99
3,1050,20.43,3,0.64,1,2,0.48
4,1399,4.14,10,0.95,1,4,0.75
0,358,7.42,2,0.93,0,4,0.88
0,1458,8.01,4,0.83,1,4,0.66
3,820,22.33,5,0.63,1,0,0.99
3,232,24.56,1,0.76,1,6,0.58
4,264,22.81,5,0.46,0,8,0.56
0,254,23.02,3,0.48,1,8,0.49
12,1434,31.79,30,0.19,1,11,0.14
15,1477,80.34,20,0.16,1,11,0.4
6,736,18.1,7,0.75,1,1,0.48
2,1487,24.47,4,0.52,0,8,0.7
3,1371,19.22,5,0.74,0,5,0.57
0,1188,13.44,9,0.42,0,1,0.41
1,796,10.58,5,0.71,0,3,0.47
0,1494,21.38,10,0.67,1,6,0.84
3,1252,9.14,2,0.52,1,3,0.42
9,3833,26.02,10,0.23,0,9,0.35
5,607,16.98,6,0.98,0,7,0.45
10,2936,44.97,26,0.11,0,7,0.2
2,225,24.4,2,0.36,1,2,0.87
4,535,20.88,2,0.81,1,4,0.89
5,761,7.56,1,0.43,0,6,0.97
5,1394,0.7,1,0.6,0,6,0.53
1,889,22.08,8,0.71,0,3,0.96
0,948,12.48,2,0.45,0,4,0.98
2,1177,10.42,5,0.4,0,2,0.76
8,3783,21.12,27,0.07,1,8,0.52
5,1004,9.54,1,0.44,1,0,0.5
4,774,2.82,7,0.78,1,5,0.55
11,3969,22.14,14,0.17,1,5,0.49
1,309,10.23,3,0.45,1,8,0.53
4,870,7.73,7,0.9,0,0,0.42
5,625,7.87,2,0.79,0,3,0.91
6,744,9.19,4,0.78,0,7,0.9
3,1155,20.33,4,0.38,1,7,0.55
1,972,0.24,2,0.45,0,8,0.42
6,882,0.18,5,0.29,1,7,0.71
6,572,2.09,9,0.49,1,5,0.43
6,254,1.43,3,0.86,0,0,0.46
3,323,18.17,7,0.41,1,7,0.47
0,111,4.32,10,0.83,0,6,0.66
0,700,17.54,1,0.52,0,0,0.57
2,524,13.17,5,0.49,0,4,0.46
5,915,5.89,8,0.26,1,5,0.4
5,674,19.87,6,0.87,0,1,0.55
3,1137,12.12,1,0.55,0,3,0.69
2,827,23.43,5,0.45,0,0,0.96
2,819,18.37,9,0.32,0,5,0.78
4,808,19.73,1,0.35,1,2,0.4
4,943,7.26,3,0.66,1,3,0.88
5,465,15.68,9,0.52,0,1,0.56
1,486,1.54,8,0.22,0,5,0.76
6,784,0.36,7,0.62,0,4,0.47
0,1100,1.39,2,0.29,0,5,0.88
6,1488,9.64,4,0.64,0,6,0.48
3,1495,17.59,9,0.56,0,4,0.43
6,230,10.16,3,0.87,1,4,0.65
6,296,19.68,8,0.85,1,6,0.45
5,791,21.47,1,0.28,0,2,0.62
0,1337,1.2,5,0.99,1,6,0.6
0,1187,10.2,8,0.25,1,0,0.85
1,258,2.46,7,0.69,1,1,0.47
6,481,12.21,5,0.7,1,0,0.77
3,549,12.39,3,0.85,0,4,0.65
5,1372,16.56,9,0.41,0,6,0.84
1,343,17.34,2,0.38,1,0,0.7
3,1251,12.49,6,0.69,0,5,0.8
6,677,19.79,9,0.3,1,6,0.89
1,1205,18.25,8,0.28,0,6,0.76
6,693,21.68,8,0.96,0,3,0.89
4,451,24.95,7,0.51,0,7,0.73
5,188,8.54,3,0.89,0,7,0.99
4,304,12.86,4,0.8,0,5,0.43
5,549,24.6,3,0.51,0,3,0.98
1,721,24.74,9,0.46,1,0,0.68
1,961,2.88,5,0.63,0,3,0.95
6,921,19.48,4,0.45,0,1,0.87
4,1319,5.72,3,0.59,0,6,0.51
2,641,12.91,6,0.86,1,2,0.79
4,686,15.5,3,0.56,1,7,0.78
2,119,19.6,4,0.25,1,6,0.72
0,1033,20.66,5,0.39,0,8,0.44
2,292,11.0,4,0.45,0,4,0.73
5,924,11.11,4,0.64,0,8,0.93
3,488,12.07,4,0.58,0,6,1.0
2,1039,11.24,3,0.92,1,8,0.44
2,644,0.01,2,0.68,0,5,0.82
5,964,3.56,3,0.36,0,6,0.96
5,3347,55.58,19,0.2,1,10,0.46
2,169,20.77,3,0.21,0,2,0.53
2,561,6.47,2,0.5,1,8,0.75
9,2430,29.62,30,0.13,1,5,0.54
9,3435,43.41,8,0.21,1,9,0.41
1,1281,2.4,6,0.24,1,8,0.88
0,863,17.23,9,0.23,0,4,0.67
2,1082,24.98,1,0.92,1,4,0.6
2,1077,24.85,6,0.82,1,6,0.58
2,1009,1.53,2,0.61,1,8,0.68
2,108,5.47,3,0.29,0,1,0.67
6,602,20.55,9,0.68,1,7,0.83
5,904,10.85,7,0.61,0,2,0.82
2,472,11.56,3,0.47,0,0,0.77
5,1288,13.88,5,0.67,1,1,0.76
4,244,13.2,6,0.73,0,4,0.7
4,1400,19.75,9,1.0,0,5,0.57
5,900,22.78,4,0.31,0,8,0.6
14,3661,55.21,12,0.03,0,9,0.52
0,662,14.18,4,0.8,1,2,0.91
6,210,21.97,8,0.71,1,1,0.76
6,1466,23.23,5,0.64,1,1,0.98
1,1049,19.92,4,0.28,0,7,0.46
8,2093,91.05,26,0.11,0,5,0.34
0,593,22.05,8,0.87,1,0,0.6
2,1483,23.98,3,0.29,1,2,0.79
